id,iupac,formula,trivial,casrn,inchikey,subcat_id,
203,"2,2,5,5-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,1071-81-4,HXQDUXXBVMMIKL-UHFFFAOYSA-N,11,
204,"2,3,3,4-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-10-6,HIHSOGFAVTVMCY-UHFFFAOYSA-N,11,
205,"2,3,3,5-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-11-7,GCGFXFIPOBRMQT-UHFFFAOYSA-N,11,
206,"2,3,4,4-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-12-8,XDRDDPSGUQMOBO-UHFFFAOYSA-N,11,
207,"2,3,4,5-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-15-1,BHGNYYIOYPFWKC-UHFFFAOYSA-N,11,
208,"3,3,4,4-tetramethylhexane",C<sub>10</sub>H<sub>22</sub>,,5171-84-6,MCEYLFHKATVXLN-UHFFFAOYSA-N,11,
209,"3-ethyl-2,2-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,20291-91-2,XYDYODCWVCBIOQ-UHFFFAOYSA-N,11,
210,"4-ethyl-2,2-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,52896-99-8,QHLDBFLIDFTHQI-UHFFFAOYSA-N,11,
211,"3-ethyl-2,3-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-00-4,PJIFKODHGMUPFH-UHFFFAOYSA-N,11,
212,"4-ethyl-2,3-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-01-5,RHMRCCBCYFAZIK-UHFFFAOYSA-N,11,
213,"3-ethyl-2,4-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,7220-26-0,OSKIMJMPFNLVOU-UHFFFAOYSA-N,11,
214,"4-ethyl-2,4-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-03-7,SIKFMUYSQCEQOO-UHFFFAOYSA-N,11,
215,"3-ethyl-2,5-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-04-8,UJEUVDLASLOZIV-UHFFFAOYSA-N,11,
216,"4-ethyl-3,3-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-05-9,ZRTXVJYJVBTXHE-UHFFFAOYSA-N,11,
217,"3-ethyl-3,4-dimethylhexane",C<sub>10</sub>H<sub>22</sub>,,52897-06-0,ZGJCTUKRTSBTIQ-UHFFFAOYSA-N,11,
218,"3,3-diethylhexane",C<sub>10</sub>H<sub>22</sub>,,17302-02-2,WWNGLKDLYKNGGT-UHFFFAOYSA-N,11,
219,"3,4-diethylhexane",C<sub>10</sub>H<sub>22</sub>,,19398-77-7,VBZCRMTUDYIWIH-UHFFFAOYSA-N,11,
220,2-methyl-3-(1-methylethyl)-hexane,C<sub>10</sub>H<sub>22</sub>,3-isopropyl-2-methylhexane,62016-13-1,YBOXGRMAQIYMGV-UHFFFAOYSA-N,11,
221,"2,2,3,3,4-pentamethylpentane",C<sub>10</sub>H<sub>22</sub>,,16747-44-7,WKQBIIUOSATALN-UHFFFAOYSA-N,11,
222,"2,2,3,4,4-pentamethylpentane",C<sub>10</sub>H<sub>22</sub>,,16747-45-8,OWFKEHICSVOVAC-UHFFFAOYSA-N,11,
223,"3-ethyl-2,2,3-trimethylpentane",C<sub>10</sub>H<sub>22</sub>,,52897-17-3,AJDIFHIHSYVDGP-UHFFFAOYSA-N,11,
224,"3-ethyl-2,2,4-trimethylpentane",C<sub>10</sub>H<sub>22</sub>,,52897-18-4,VLIZIVHXZXQRDE-UHFFFAOYSA-N,11,
225,"3-ethyl-2,3,4-trimethylpentane",C<sub>10</sub>H<sub>22</sub>,,52897-19-5,OHZNMGSGEFVFTI-UHFFFAOYSA-N,11,
226,"3,3-diethyl-2-methylpentane",C<sub>10</sub>H<sub>22</sub>,,52897-16-2,DSSAZLXYIQIXGW-UHFFFAOYSA-N,11,
227,"2,4-dimethyl-3-(1-methylethyl)-pentane",C<sub>10</sub>H<sub>22</sub>,"2,4-dimethyl-3-isopropylpentane",13475-79-1,YVYHOOYMDHZALB-UHFFFAOYSA-N,11,
228,undecane,C<sub>11</sub>H<sub>24</sub>,,1120-21-4,RSJKGSCJYJTIGS-UHFFFAOYSA-N,11,
229,dodecane,C<sub>12</sub>H<sub>26</sub>,,112-40-3,SNRUBQQJIBEYMU-UHFFFAOYSA-N,11,
230,"2,2,4,6,6-pentamethylheptane",C<sub>12</sub>H<sub>26</sub>,,13475-82-6,VKPSKYDESGTTFR-UHFFFAOYSA-N,11,
231,tridecane,C<sub>13</sub>H<sub>28</sub>,,629-50-5,IIYFAKIEWZDVMP-UHFFFAOYSA-N,11,
232,tetradecane,C<sub>14</sub>H<sub>30</sub>,,629-59-4,BGHCVCJVXZWKCC-UHFFFAOYSA-N,11,
233,pentadecane,C<sub>15</sub>H<sub>32</sub>,,629-62-9,YCOZIPAWZNQLMR-UHFFFAOYSA-N,11,
234,hexadecane,C<sub>16</sub>H<sub>34</sub>,,544-76-3,DCAYPVUWAIABOU-UHFFFAOYSA-N,11,
235,heptadecane,C<sub>17</sub>H<sub>36</sub>,,629-78-7,NDJKXXJCMXVBJW-UHFFFAOYSA-N,11,
236,octadecane,C<sub>18</sub>H<sub>38</sub>,,593-45-3,RZJRJXONCZWCBN-UHFFFAOYSA-N,11,
237,nonadecane,C<sub>19</sub>H<sub>40</sub>,,629-92-5,LQERIDTXQFOHKA-UHFFFAOYSA-N,11,
238,eicosane,C<sub>20</sub>H<sub>42</sub>,,112-95-8,CBFCDTFDPHXCNY-UHFFFAOYSA-N,11,
239,heneicosane,C<sub>21</sub>H<sub>44</sub>,,629-94-7,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,11,
240,docosane,C<sub>22</sub>H<sub>46</sub>,,629-97-0,HOWGUJZVBDQJKV-UHFFFAOYSA-N,11,
241,tricosane,C<sub>23</sub>H<sub>48</sub>,,638-67-5,FIGVVZUWCLSUEI-UHFFFAOYSA-N,11,
242,tetracosane,C<sub>24</sub>H<sub>50</sub>,,646-31-1,POOSGDOYLQNASK-UHFFFAOYSA-N,11,
243,pentacosane,C<sub>25</sub>H<sub>52</sub>,,629-99-2,YKNWIILGEFFOPE-UHFFFAOYSA-N,11,
244,hexacosane,C<sub>26</sub>H<sub>54</sub>,,630-01-3,HMSWAIKSFDFLKN-UHFFFAOYSA-N,11,
245,heptacosane,C<sub>27</sub>H<sub>56</sub>,,593-49-7,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,11,
246,octacosane,C<sub>28</sub>H<sub>58</sub>,,630-02-4,ZYURHZPYMFLWSH-UHFFFAOYSA-N,11,
247,nonacosane,C<sub>29</sub>H<sub>60</sub>,,630-03-5,IGGUPRCHHJZPBS-UHFFFAOYSA-N,11,
248,triacontane,C<sub>30</sub>H<sub>62</sub>,,638-68-6,JXTPJDDICSTXJX-UHFFFAOYSA-N,11,
249,dotriacontane,C<sub>32</sub>H<sub>66</sub>,,544-85-4,QHMGJGNTMQDRQA-UHFFFAOYSA-N,11,
250,pentatriacontane,C<sub>35</sub>H<sub>72</sub>,,630-07-9,VHQQPFLOGSTQPC-UHFFFAOYSA-N,11,
251,hexatriacontane,C<sub>36</sub>H<sub>74</sub>,,630-06-8,YDLYQMBWCWFRAI-UHFFFAOYSA-N,11,
252,octatriacontane,C<sub>38</sub>H<sub>78</sub>,,7194-85-6,BVKCQBBZBGYNOP-UHFFFAOYSA-N,11,
253,cyclopropane,C<sub>3</sub>H<sub>6</sub>,,75-19-4,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,12,
254,cyclobutane,C<sub>4</sub>H<sub>8</sub>,,287-23-0,PMPVIKIVABFJJI-UHFFFAOYSA-N,12,
255,cyclopentane,C<sub>5</sub>H<sub>10</sub>,,287-92-3,RGSFGYAAUTVSQA-UHFFFAOYSA-N,12,
256,cyclohexane,C<sub>6</sub>H<sub>12</sub>,,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,12,
257,cycloheptane,C<sub>7</sub>H<sub>14</sub>,,291-64-5,DMEGYFMYUHOHGS-UHFFFAOYSA-N,12,
258,cyclooctane,C<sub>8</sub>H<sub>16</sub>,,292-64-8,WJTCGQSWYFHTAC-UHFFFAOYSA-N,12,
259,methylcyclopentane,C<sub>5</sub>H<sub>9</sub>CH<sub>3</sub>,,96-37-7,GDOPTJXRTPNYNR-UHFFFAOYSA-N,12,
260,methylcyclohexane,C<sub>6</sub>H<sub>11</sub>CH<sub>3</sub>,,108-87-2,UAEPNZWRGJTJPN-UHFFFAOYSA-N,12,
261,methylcyclohexane-d14,C<sub>6</sub>D<sub>11</sub>CD<sub>3</sub>,,10120-28-2,UAEPNZWRGJTJPN-OBYKGMMLSA-N,12,
262,ethylcyclohexane,C<sub>8</sub>H<sub>16</sub>,,1678-91-7,IIEWJVIFRVWJOD-UHFFFAOYSA-N,12,
263,methylcycloheptane,C<sub>8</sub>H<sub>16</sub>,,4126-78-7,GYNNXHKOJHMOHS-UHFFFAOYSA-N,12,
264,"1,2-dimethylcyclohexane",C<sub>6</sub>H<sub>10</sub>(CH<sub>3</sub>)<sub>2</sub>,,583-57-3,KVZJLSYJROEPSQ-UHFFFAOYSA-N,12,
265,"<i>cis</i>-1,2-dimethylcyclohexane",C<sub>6</sub>H<sub>10</sub>(CH<sub>3</sub>)<sub>2</sub>,,04/01/2207,KVZJLSYJROEPSQ-OCAPTIKFSA-N,12,
266,"<i>trans</i>-1,2-dimethylcyclohexane",C<sub>6</sub>H<sub>10</sub>(CH<sub>3</sub>)<sub>2</sub>,,6876-23-9,KVZJLSYJROEPSQ-YUMQZZPRSA-N,12,
267,"1,4-dimethylcyclohexane",C<sub>6</sub>H<sub>10</sub>(CH<sub>3</sub>)<sub>2</sub>,,589-90-2,QRMPKOFEUHIBNM-UHFFFAOYSA-N,12,
268,"<i>trans</i>-1,4-dimethylcyclohexane",C<sub>6</sub>H<sub>10</sub>(CH<sub>3</sub>)<sub>2</sub>,,07/04/2207,QRMPKOFEUHIBNM-ZKCHVHJHSA-N,12,
269,"1,1,2-trimethylcyclopentane",C<sub>5</sub>H<sub>7</sub>(CH<sub>3</sub>)<sub>3</sub>,,4259-00-1,WINCSBAYCULVDU-UHFFFAOYSA-N,12,
270,"1,1,3-trimethylcyclopentane",C<sub>5</sub>H<sub>7</sub>(CH<sub>3</sub>)<sub>3</sub>,,4516-69-2,OBKHYUIZSOIEPG-UHFFFAOYSA-N,12,
271,"1,1,3-trimethylcyclohexane",C<sub>9</sub>H<sub>18</sub>,,3073-66-3,PYOLJOJPIPCRDP-UHFFFAOYSA-N,12,
272,propylcyclopentane,C<sub>5</sub>H<sub>9</sub>C<sub>3</sub>H<sub>7</sub>,,2040-96-2,KDIAMAVWIJYWHN-UHFFFAOYSA-N,12,
273,pentylcyclopentane,C<sub>5</sub>H<sub>9</sub>C<sub>5</sub>H<sub>11</sub>,,3741-00-2,HPQURZRDYMUHJI-UHFFFAOYSA-N,12,
274,cyclooctene,C<sub>8</sub>H<sub>14</sub>,,931-88-4,URYYVOIYTNXXBN-UPHRSURJSA-N,12,
275,decahydronaphthalene,C<sub>10</sub>H<sub>18</sub>,decalin,91-17-8,NNBZCPXTIHJBJL-UHFFFAOYSA-N,12,
276,octahydro-1H-indene,C<sub>9</sub>H<sub>16</sub>,,496-10-6,BNRNAKTVFSZAFA-UHFFFAOYSA-N,12,
277,(Z)-bicyclo[4.4.0]decane,C<sub>10</sub>H<sub>18</sub>,<i>cis</i>-decahydronaphthalene; <i>cis</i>-decalin,493-01-6,NNBZCPXTIHJBJL-AOOOYVTPSA-N,12,
278,(E)-bicyclo[4.4.0]decane,C<sub>10</sub>H<sub>18</sub>,<i>trans</i>-decahydronaphthalene; <i>trans</i>-decalin,493-02-7,NNBZCPXTIHJBJL-MGCOHNPYSA-N,12,
279,"2,6,6-trimethylbicyclo[3.1.1]heptane",C<sub>10</sub>H<sub>18</sub>,dihydropinene,473-55-2,XOKSLPVRUOBDEW-UHFFFAOYSA-N,12,
280,"1,1''-bicyclohexyl",C<sub>12</sub>H<sub>22</sub>,,92-51-3,WVIIMZNLDWSIRH-UHFFFAOYSA-N,12,
281,cyclododecane,C<sub>12</sub>H<sub>24</sub>,,294-62-2,DDTBPAQBQHZRDW-UHFFFAOYSA-N,12,
282,"octahydro-1,1,2,3,3-pentamethyl-1H-indene",C<sub>14</sub>H<sub>26</sub>,,33704-60-8,TUALLFJCLUYJEN-UHFFFAOYSA-N,12,
283,"1,1'':3'',1'-tercyclohexane""",C<sub>18</sub>H<sub>32</sub>,,1706-50-9,JBQRJHVXZMSLNH-UHFFFAOYSA-N,12,
284,"1,1''-(2-methylpentane-2,4-diyl)dicyclohexane",C<sub>18</sub>H<sub>34</sub>,,38970-72-8,XUVKLBIJXLIPDZ-UHFFFAOYSA-N,12,
285,ethene,C<sub>2</sub>H<sub>4</sub>,ethylene,74-85-1,VGGSQFUCUMXWEO-UHFFFAOYSA-N,13,
286,propene,C<sub>3</sub>H<sub>6</sub>,propylene,115-07-1,QQONPFPTGQHPMA-UHFFFAOYSA-N,13,
287,1-butene,C<sub>4</sub>H<sub>8</sub>,,106-98-9,VXNZUUAINFGPBY-UHFFFAOYSA-N,13,
288,2-butene,C<sub>4</sub>H<sub>8</sub>,,107-01-7,IAQRGUVFOMOMEM-UHFFFAOYSA-N,13,
289,<i>cis</i>-2-butene,C<sub>4</sub>H<sub>8</sub>,,590-18-1,IAQRGUVFOMOMEM-ARJAWSKDSA-N,13,
290,<i>trans</i>-2-butene,C<sub>4</sub>H<sub>8</sub>,,624-64-6,IAQRGUVFOMOMEM-ONEGZZNKSA-N,13,
291,2-methylpropene,C<sub>4</sub>H<sub>8</sub>,isobutene,115-11-7,VQTUBCCKSQIDNK-UHFFFAOYSA-N,13,
292,1-pentene,C<sub>5</sub>H<sub>10</sub>,,109-67-1,YWAKXRMUMFPDSH-UHFFFAOYSA-N,13,
293,2-pentene,C<sub>5</sub>H<sub>10</sub>,,109-68-2,QMMOXUPEWRXHJS-UHFFFAOYSA-N,13,
294,<i>cis</i>-2-pentene,C<sub>5</sub>H<sub>10</sub>,,627-20-3,QMMOXUPEWRXHJS-HYXAFXHYSA-N,13,
295,<i>trans</i>-2-pentene,C<sub>5</sub>H<sub>10</sub>,,646-04-8,QMMOXUPEWRXHJS-HWKANZROSA-N,13,
296,2-methyl-1-butene,C<sub>5</sub>H<sub>10</sub>,,563-46-2,MHNNAWXXUZQSNM-UHFFFAOYSA-N,13,
297,2-methyl-2-butene,C<sub>5</sub>H<sub>10</sub>,,513-35-9,BKOOMYPCSUNDGP-UHFFFAOYSA-N,13,
298,3-methyl-1-butene,C<sub>5</sub>H<sub>10</sub>,,563-45-1,YHQXBTXEYZIYOV-UHFFFAOYSA-N,13,
299,1-hexene,C<sub>6</sub>H<sub>12</sub>,,592-41-6,LIKMAJRDDDTEIG-UHFFFAOYSA-N,13,
300,2-methyl-1-pentene,C<sub>6</sub>H<sub>12</sub>,,763-29-1,WWUVJRULCWHUSA-UHFFFAOYSA-N,13,
301,4-methyl-1-pentene,C<sub>6</sub>H<sub>12</sub>,,691-37-2,WSSSPWUEQFSQQG-UHFFFAOYSA-N,13,
302,"2,3-dimethyl-1-butene",C<sub>6</sub>H<sub>12</sub>,,563-78-0,OWWIWYDDISJUMY-UHFFFAOYSA-N,13,
303,1-heptene,C<sub>7</sub>H<sub>14</sub>,,592-76-7,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,13,
304,2-heptene,C<sub>7</sub>H<sub>14</sub>,,592-77-8,OTTZHAVKAVGASB-UHFFFAOYSA-N,13,
305,<i>trans</i>-2-heptene,C<sub>7</sub>H<sub>14</sub>,,14686-13-6,OTTZHAVKAVGASB-HWKANZROSA-N,13,
306,1-octene,C<sub>8</sub>H<sub>16</sub>,,111-66-0,KWKAKUADMBZCLK-UHFFFAOYSA-N,13,
307,"2,4,4-trimethyl-1-pentene",C<sub>8</sub>H<sub>16</sub>,,107-39-1,FXNDIJDIPNCZQJ-UHFFFAOYSA-N,13,
308,"2,4,4-trimethyl-2-pentene",C<sub>8</sub>H<sub>16</sub>,,107-40-4,LAAVYEUJEMRIGF-UHFFFAOYSA-N,13,
309,"3,4,4-trimethyl-2-pentene",C<sub>8</sub>H<sub>16</sub>,,598-96-9,FZQMZRXKWHQJAG-UHFFFAOYSA-N,13,
310,1-nonene,C<sub>9</sub>H<sub>18</sub>,,124-11-8,JRZJOMJEPLMPRA-UHFFFAOYSA-N,13,
311,1-decene,C<sub>10</sub>H<sub>20</sub>,,872-05-9,AFFLGGQVNFXPEV-UHFFFAOYSA-N,13,
312,1-undecene,C<sub>11</sub>H<sub>22</sub>,,821-95-4,DCTOHCCUXLBQMS-UHFFFAOYSA-N,13,
313,1-dodecene,C<sub>12</sub>H<sub>24</sub>,,112-41-4,CRSBERNSMYQZNG-UHFFFAOYSA-N,13,
314,"2,2,4,6,6-pentamethyl-3-heptene",C<sub>12</sub>H<sub>24</sub>,,123-48-8,NBUMCEJRJRRLCA-UHFFFAOYSA-N,13,
315,1-tridecene,C<sub>13</sub>H<sub>26</sub>,,2437-56-1,VQOXUMQBYILCKR-UHFFFAOYSA-N,13,
316,1-tetradecene,C<sub>14</sub>H<sub>28</sub>,,1120-36-1,HFDVRLIODXPAHB-UHFFFAOYSA-N,13,
317,"1,2-butadiene",C<sub>4</sub>H<sub>6</sub>,,590-19-2,QNRMTGGDHLBXQZ-UHFFFAOYSA-N,13,
318,"1,3-butadiene",C<sub>4</sub>H<sub>6</sub>,,106-99-0,KAKZBPTYRLMSJV-UHFFFAOYSA-N,13,
319,"2-methyl-1,3-butadiene",C<sub>5</sub>H<sub>8</sub>,isoprene,78-79-5,RRHGJUQNOFWUDK-UHFFFAOYSA-N,13,
320,"1,2-pentadiene",C<sub>5</sub>H<sub>8</sub>,,591-95-7,LVMTVPFRTKXRPH-UHFFFAOYSA-N,13,
321,"1,3-pentadiene",C<sub>5</sub>H<sub>8</sub>,,504-60-9,PMJHHCWVYXUKFD-UHFFFAOYSA-N,13,
322,"(E)-1,3-pentadiene",C<sub>5</sub>H<sub>8</sub>,,2004-70-8,PMJHHCWVYXUKFD-SNAWJCMRSA-N,13,
323,"1,4-pentadiene",C<sub>5</sub>H<sub>8</sub>,,591-93-5,QYZLKGVUSQXAMU-UHFFFAOYSA-N,13,
324,"2,3-pentadiene",C<sub>5</sub>H<sub>8</sub>,,591-96-8,PODAMDNJNMAKAZ-UHFFFAOYSA-N,13,
325,"1,4-hexadiene",C<sub>6</sub>H<sub>10</sub>,,592-45-0,PRBHEGAFLDMLAL-UHFFFAOYSA-N,13,
326,"1,5-hexadiene",C<sub>6</sub>H<sub>10</sub>,,592-42-7,PYGSKMBEVAICCR-UHFFFAOYSA-N,13,
327,"2,3-dimethyl-1,3-butadiene",C<sub>6</sub>H<sub>10</sub>,,513-81-5,SDJHPPZKZZWAKF-UHFFFAOYSA-N,13,
328,"1,6-heptadiene",C<sub>7</sub>H<sub>12</sub>,,3070-53-9,GEAWFZNTIFJMHR-UHFFFAOYSA-N,13,
329,1-methylcyclopropene,C<sub>4</sub>H<sub>6</sub>,,07/04/3100,SHDPRTQPPWIEJG-UHFFFAOYSA-N,13,
330,cyclopentene,C<sub>5</sub>H<sub>8</sub>,,142-29-0,LPIQUOYDBNQMRZ-UHFFFAOYSA-N,13,
331,cyclohexene,C<sub>6</sub>H<sub>10</sub>,,110-83-8,HGCIXCUEYOPUTN-UHFFFAOYSA-N,13,
332,1-methylcyclopentene,C<sub>6</sub>H<sub>10</sub>,,693-89-0,ATQUFXWBVZUTKO-UHFFFAOYSA-N,13,
333,cycloheptene,C<sub>7</sub>H<sub>12</sub>,,628-92-2,ZXIJMRYMVAMXQP-UHFFFAOYSA-N,13,
334,1-methylcyclohexene,C<sub>6</sub>H<sub>9</sub>CH<sub>3</sub>,,591-49-1,CTMHWPIWNRWQEG-UHFFFAOYSA-N,13,
335,"1,1,2,3,3-pentamethyl-2,3,4,5,6,7-hexahydro-1H-indene",C<sub>14</sub>H<sub>24</sub>,,33704-59-5,CDEGOUYLXTUDAU-UHFFFAOYSA-N,13,
336,"1,3-cyclopentadiene",C<sub>5</sub>H<sub>6</sub>,,542-92-7,ZSWFCLXCOIISFI-UHFFFAOYSA-N,13,
337,"1,3-cyclohexadiene",C<sub>6</sub>H<sub>8</sub>,,592-57-4,MGNZXYYWBUKAII-UHFFFAOYSA-N,13,
338,"1,4-cyclohexadiene",C<sub>6</sub>H<sub>8</sub>,"1,4-dihydrobenzene",628-41-1,UVJHQYIOXKWHFD-UHFFFAOYSA-N,13,
339,"1,3-cycloheptadiene",C<sub>7</sub>H<sub>10</sub>,,4054-38-0,GWYPDXLJACEENP-UHFFFAOYSA-N,13,
340,"1,3,5-cycloheptatriene",C<sub>7</sub>H<sub>8</sub>,,544-25-2,CHVJITGCYZJHLR-UHFFFAOYSA-N,13,
341,"1,5-cyclooctadiene",C<sub>8</sub>H<sub>12</sub>,,111-78-4,VYXHVRARDIDEHS-QGTKBVGQSA-N,13,
342,1-ethenylcyclohexene,C<sub>8</sub>H<sub>12</sub>,,2622-21-1,SDRZFSPCVYEJTP-UHFFFAOYSA-N,13,
343,4-ethenylcyclohexene,C<sub>8</sub>H<sub>12</sub>,,100-40-3,BBDKZWKEPDTENS-UHFFFAOYSA-N,13,
344,"1,3,5,7-cyclooctatetraene",C<sub>8</sub>H<sub>8</sub>,,629-20-9,KDUIUFJBNGTBMD-DLMDZQPMSA-N,13,
345,"3a,4,7,7a-tetrahydro-4,7-methano-1H-indene",C<sub>10</sub>H<sub>12</sub>,dicyclopentadiene,77-73-6,HECLRDQVFMWTQS-UHFFFAOYSA-N,13,
346,"1,5,9-cyclododecatriene",C<sub>12</sub>H<sub>18</sub>,,4904-61-4,ZOLLIQAKMYWTBR-MOLCZBCNSA-N,13,
347,ethyne,C<sub>2</sub>H<sub>2</sub>,acetylene,74-86-2,HSFWRNGVRCDJHI-UHFFFAOYSA-N,14,
348,propyne,CH<sub>3</sub>CCH,,74-99-7,MWWATHDPGQKSAR-UHFFFAOYSA-N,14,
349,1-butyne,C<sub>2</sub>H<sub>5</sub>CCH,ethylacetylene,107-00-6,KDKYADYSIPSCCQ-UHFFFAOYSA-N,14,
350,2-butyne,C<sub>4</sub>H<sub>6</sub>,,503-17-3,XNMQEEKYCVKGBD-UHFFFAOYSA-N,14,
351,1-pentyne,C<sub>3</sub>H<sub>7</sub>CCH,,627-19-0,IBXNCJKFFQIKKY-UHFFFAOYSA-N,14,
352,2-pentyne,C<sub>5</sub>H<sub>8</sub>,,627-21-4,NKTDTMONXHODTI-UHFFFAOYSA-N,14,
353,1-hexyne,C<sub>4</sub>H<sub>9</sub>CCH,,693-02-7,CGHIBGNXEGJPQZ-UHFFFAOYSA-N,14,
354,2-hexyne,C<sub>6</sub>H<sub>10</sub>,,764-35-2,MELUCTCJOARQQG-UHFFFAOYSA-N,14,
355,3-hexyne,C<sub>6</sub>H<sub>10</sub>,,928-49-4,DQQNMIPXXNPGCV-UHFFFAOYSA-N,14,
356,1-heptyne,C<sub>5</sub>H<sub>11</sub>CCH,,628-71-7,YVXHZKKCZYLQOP-UHFFFAOYSA-N,14,
357,1-octyne,C<sub>6</sub>H<sub>13</sub>CCH,,629-05-0,UMIPWJGWASORKV-UHFFFAOYSA-N,14,
358,2-octyne,C<sub>8</sub>H<sub>14</sub>,,2809-67-8,QCQALVMFTWRCFI-UHFFFAOYSA-N,14,
359,1-nonyne,C<sub>7</sub>H<sub>15</sub>CCH,,03/09/3452,OSSQSXOTMIGBCF-UHFFFAOYSA-N,14,
360,3-buten-1-yne,CH<sub>2</sub>CHCCH,vinylacetylene,689-97-4,WFYPICNXBKQZGB-UHFFFAOYSA-N,14,
361,butadiyne,C<sub>4</sub>H<sub>2</sub>,biacetylene,460-12-8,LLCSWKVOHICRDD-UHFFFAOYSA-N,14,
362,benzene,C<sub>6</sub>H<sub>6</sub>,,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,15,
363,benzene-d6,C<sub>6</sub>D<sub>6</sub>,,1076-43-3,UHOVQNZJYSORNB-MZWXYZOWSA-N,15,
364,methylbenzene,C<sub>6</sub>H<sub>5</sub>CH<sub>3</sub>,toluene,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,15,
365,methylbenzene-d8,C<sub>6</sub>D<sub>5</sub>CD<sub>3</sub>,toluene-d8,2037-26-5,YXFVVABEGXRONW-JGUCLWPXSA-N,15,
366,"1,2-dimethylbenzene",C<sub>6</sub>H<sub>4</sub>(CH<sub>3</sub>)<sub>2</sub>,o-xylene,95-47-6,CTQNGGLPUBDAKN-UHFFFAOYSA-N,15,
367,"1,2-dimethylbenzene-d10",C<sub>6</sub>D<sub>4</sub>(CD<sub>3</sub>)<sub>2</sub>,o-xylene-d10,56004-61-6,CTQNGGLPUBDAKN-ZGYYUIRESA-N,15,
368,"1,3-dimethylbenzene",C<sub>6</sub>H<sub>4</sub>(CH<sub>3</sub>)<sub>2</sub>,m-xylene,108-38-3,IVSZLXZYQVIEFR-UHFFFAOYSA-N,15,
369,"1,4-dimethylbenzene",C<sub>6</sub>H<sub>4</sub>(CH<sub>3</sub>)<sub>2</sub>,p-xylene,106-42-3,URLKBWYHVLBVBO-UHFFFAOYSA-N,15,
370,"1,2,3-trimethylbenzene",C<sub>6</sub>H<sub>3</sub>(CH<sub>3</sub>)<sub>3</sub>,,526-73-8,FYGHSUNMUKGBRK-UHFFFAOYSA-N,15,
371,"1,2,4-trimethylbenzene",C<sub>6</sub>H<sub>3</sub>(CH<sub>3</sub>)<sub>3</sub>,,95-63-6,GWHJZXXIDMPWGX-UHFFFAOYSA-N,15,
372,"1,3,5-trimethylbenzene",C<sub>6</sub>H<sub>3</sub>(CH<sub>3</sub>)<sub>3</sub>,mesitylene,108-67-8,AUHZEENZYGFFBQ-UHFFFAOYSA-N,15,
373,"1,2,3,5-tetramethylbenzene",C<sub>10</sub>H<sub>14</sub>,,527-53-7,BFIMMTCNYPIMRN-UHFFFAOYSA-N,15,
374,"1,2,4,5-tetramethylbenzene",C<sub>10</sub>H<sub>14</sub>,,95-93-2,SQNZJJAZBFDUTD-UHFFFAOYSA-N,15,
375,ethylbenzene,C<sub>6</sub>H<sub>5</sub>C<sub>2</sub>H<sub>5</sub>,,100-41-4,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,15,
376,ethylbenzene-d10,C<sub>6</sub>D<sub>5</sub>C<sub>2</sub>D<sub>5</sub>,,25837-05-2,YNQLUTRBYVCPMQ-CFTAVCBPSA-N,15,
377,"1,2-diethylbenzene",C<sub>10</sub>H<sub>14</sub>,o-diethylbenzene,135-01-3,KVNYFPKFSJIPBJ-UHFFFAOYSA-N,15,
378,"1,3-diethylbenzene",C<sub>10</sub>H<sub>14</sub>,m-diethylbenzene,141-93-5,AFZZYIJIWUTJFO-UHFFFAOYSA-N,15,
379,"1,4-diethylbenzene",C<sub>10</sub>H<sub>14</sub>,p-diethylbenzene,105-05-5,DSNHSQKRULAAEI-UHFFFAOYSA-N,15,
380,propylbenzene,C<sub>6</sub>H<sub>5</sub>C<sub>3</sub>H<sub>7</sub>,,103-65-1,ODLMAHJVESYWTB-UHFFFAOYSA-N,15,
381,(2-propyl)-benzene,C<sub>6</sub>H<sub>5</sub>C<sub>3</sub>H<sub>7</sub>,isopropylbenzene; cumene,98-82-8,RWGFKTVRMDUZSP-UHFFFAOYSA-N,15,
